name,lat,lng
曾文溪口重要濕地,23.0519287,120.068364
四草重要濕地,23.0097343,120.1417542
夢幻湖重要濕地,25.1670449,121.56017
臺北港北堤重要濕地,25.0329694,121.5654177
挖子尾重要濕地,25.1664652,121.4142482
淡水河紅樹林重要濕地,25.1563029,121.456556
關渡重要濕地,25.1145059,121.4673714
五股重要濕地,25.10404,121.45566
大漢新店重要濕地,24.978282,121.5394822
新海人工重要濕地,25.0295961,121.4541535
浮洲人工重要濕地,25.0011815,121.4022593
打鳥埤人工重要濕地,24.9784177,121.4360838
城林人工重要濕地,24.9749882,121.397015
鹿角溪人工重要濕地,24.972775,121.4204043
桃園埤圳重要濕地,25.0139452,121.247256
許厝港重要濕地,25.0873338,121.1762524
新豐重要濕地,24.9100094,120.9714337
鴛鴦湖重要濕地,24.5766599,121.4042409
香山重要濕地,24.7825535,120.9122151
西湖重要濕地,24.6138766,120.7560599
七家灣溪重要濕地,24.3541743,121.3128464
高美重要濕地,24.3132762,120.5451837
大肚溪口重要濕地,24.1891345,120.4984552
鰲鼓重要濕地,23.5064272,120.1192432
朴子溪河口重要濕地,23.4790321,120.260782
好美寮重要濕地,23.363065,120.131242
布袋鹽田重要濕地,23.3626848,120.1779448
八掌溪口重要濕地,23.4097453,120.4043175
嘉南埤圳重要濕地,23.2105556,120.38527778
北門重要濕地,23.2866026,120.1242853
官田重要濕地,23.1844539,120.3131103
七股鹽田重要濕地,23.1575503,120.0761563
鹽水溪口重要濕地,23.0120067,120.1832983
楠梓仙溪重要濕地,22.8051334,120.4648303
大鬼湖重要濕地,22.8689729,120.861606
洲仔重要濕地,22.6805494,120.2281737
南仁湖重要濕地,22.0860601,120.8640878
龍鑾潭重要濕地,21.975121,120.739906
新武呂溪重要濕地,23.132628,121.124748
大坡池重要濕地,23.1199112,121.2240409
卑南溪口重要濕地,22.9308755,121.156425
小鬼湖重要濕地,22.7356609,120.8931449
花蓮溪口重要濕地,23.941367,121.608438
馬太鞍重要濕地,23.659225,121.41005278
雙連埤重要濕地,24.7502224,121.6403645
蘭陽溪口重要濕地,24.718156,121.8313719
五十二甲重要濕地,24.6632325,121.8178269
無尾港重要濕地,24.6152931,121.8559447
南澳重要濕地,24.4065995,121.6739371
青螺重要濕地,23.5985685,119.6466172
慈湖重要濕地,24.8421033,121.2992519
清水重要濕地,24.2754785,120.571328
南港202兵工廠及周邊重要濕地,25.0312347,121.6111949
草坔重要濕地,23.65,120.7872222
永安重要濕地,22.8112691,120.2397336
關山人工濕地,23.04,121.1738889
大樹人工重要濕地,22.6623093,120.4248003
鳥松重要濕地,22.6526961,120.3499146
林園人工重要濕地,22.4986756,120.4011911
援中港重要濕地,22.7209543,120.2586926
半屏湖重要濕地,22.680554,120.298219
成龍重要濕地,23.5560987,120.162231
椬梧重要濕地,23.550886,120.190895
菜園重要濕地,23.5532342,119.5977934
麟洛人工重要濕地,22.6515201,120.5259627
四林格山重要濕地,22.079191,120.802245
東源重要濕地,22.1995204,120.8489727
內寮暫定濕地,25.14146,121.578214
竹北蓮花寺濕地,24.8765872,120.9616258
頭前溪生態公園,24.7360311,121.0997863
茄萣濕地,22.8833556,120.1976284
四重溪口濕地,22.064737,120.7072623